"cnty_fips","cnty_id","cnty_name","cnty_abbr","Lower 95% Limit","Age Adj. Rate per 10000","Total Number","Upper 95% Limit"
"06000","00","CALIFORNIA","","42.21","42.21","159753","42.42"
"06001","01","Alameda","AL","62.91","64.19","9651","65.49"
"06003","02","Alpine","AP","null","null","null","null"
"06005","03","Amador","AM","40.43","48.03","162","56.57"
"06007","04","Butte","BU","37.34","40.05","855","42.89"
"06009","05","Calaveras","CA","40.61","47.93","183","56.09"
"06011","06","Colusa","CO","20.35","26.66","62","34.32"
"06013","07","Contra Costa","CC","57.73","59.23","6020","60.76"
"06015","08","Del Norte","DN","50.88","59.71","170","69.60"
"06017","09","El Dorado","ED","28.73","31.48","536","34.42"
"06019","10","Fresno","FR","58.49","60.05","5827","61.64"
"06021","11","Glenn","GL","19.03","24.33","73","30.65"
"06023","12","Humboldt","HU","55.31","59.51","782","63.94"
"06025","13","Imperial","IM","81.95","86.30","1509","90.83"
"06027","14","Inyo","IN","27.68","36.77","63","47.76"
"06029","15","Kern","KN","40.23","41.62","3549","43.04"
"06031","16","Kings","KG","53.82","57.67","895","61.73"
"06033","17","Lake","LK","61.12","68.04","397","75.50"
"06035","18","Lassen","LS","27.88","33.92","116","40.88"
"06037","19","Los Angeles","LA","42.15","42.55","44027","42.95"
"06039","20","Madera","MA","57.85","61.76","941","65.86"
"06041","21","Marin","MR","24.55","26.65","641","28.88"
"06043","22","Mariposa","MP","34.18","44.63","73","57.10"
"06045","23","Mendocino","MD","54.78","59.92","527","65.41"
"06047","24","Merced","ME","58.10","61.11","1611","64.25"
"06049","25","Modoc","MO","21.89","33.52","30","48.74"
"06051","26","Mono","MN","7.32","12.75","17","20.62"
"06053","27","Monterey","MT","40.08","42.00","1839","43.99"
"06055","28","Napa","NA","33.94","37.17","499","40.61"
"06057","29","Nevada","NE","50.02","55.52","438","61.41"
"06059","30","Orange","OR","27.67","28.27","8752","28.87"
"06061","31","Placer","PL","21.43","23.11","735","24.89"
"06063","32","Plumas","PM","61.57","74.55","141","89.28"
"06065","33","Riverside","RI","37.23","38.07","7916","38.93"
"06067","34","Sacramento","SA","48.77","49.93","7001","51.12"
"06069","35","San Benito","ST","39.85","45.24","265","51.16"
"06071","36","San Bernardino","SR","50.69","51.67","10830","52.67"
"06073","37","San Diego","SD","36.22","36.90","11465","37.58"
"06075","38","San Francisco","SF","32.03","33.45","2419","34.91"
"06077","39","San Joaquin","SJ","50.85","52.60","3563","54.40"
"06079","40","San Luis Obispo","SL","31.96","34.31","847","36.79"
"06081","41","San Mateo","SM","37.29","38.73","2778","40.22"
"06083","42","Santa Barbara","SB","22.43","23.89","1006","25.42"
"06085","43","Santa Clara","SC","27.32","28.10","4997","28.89"
"06087","44","Santa Cruz","SZ","32.46","34.75","885","37.16"
"06089","45","Shasta","SH","44.00","47.28","818","50.74"
"06091","46","Sierra","SI","32.70","60.01","18","99.20"
"06093","47","Siskiyou","SK","30.21","36.02","155","42.58"
"06095","48","Solano","SO","56.25","58.55","2477","60.93"
"06097","49","Sonoma","SN","40.06","41.92","1956","43.86"
"06099","50","Stanislaus","SS","40.13","41.86","2282","43.65"
"06101","51","Sutter","SU","28.02","31.55","297","35.41"
"06103","52","Tehama","TE","63.20","69.89","417","77.07"
"06105","53","Trinity","TR","34.58","46.43","61","60.84"
"06107","54","Tulare","TU","44.79","46.82","2121","48.91"
"06109","55","Tuolumne","TO","54.95","62.17","299","70.02"
"06111","56","Ventura","VE","32.48","33.73","2777","35.02"
"06113","57","Yolo","YO","30.23","32.81","620","35.56"
"06115","58","Yuba","YU","43.31","48.24","359","53.59"
