"cnty_fips","cnty_id","cnty_name","cnty_abbr","Total Number","Lower 95% Limit","Upper 95% Limit","Age Adj. Rate per 10000"
"06000","00","CALIFORNIA","","31987","8.53","8.72","8.62"
"06001","01","Alameda","AL","2144","13.84","15.08","14.45"
"06003","02","Alpine","AP","null","null","null","null"
"06005","03","Amador","AM","25","4.05","9.83","6.49"
"06007","04","Butte","BU","188","7.74","10.42","9.01"
"06009","05","Calaveras","CA","29","3.82","9.00","6.01"
"06011","06","Colusa","CO","null","null","null","null"
"06013","07","Contra Costa","CC","1024","9.29","10.53","9.90"
"06015","08","Del Norte","DN","25","5.62","13.01","8.77"
"06017","09","El Dorado","ED","106","4.63","6.99","5.72"
"06019","10","Fresno","FR","1067","10.54","11.93","11.22"
"06021","11","Glenn","GL","16","3.19","9.12","5.61"
"06023","12","Humboldt","HU","98","6.03","9.15","7.47"
"06025","13","Imperial","IM","223","11.49","15.06","13.18"
"06027","14","Inyo","IN","null","null","null","null"
"06029","15","Kern","KN","758","9.04","10.48","9.74"
"06031","16","Kings","KG","115","7.08","10.50","8.67"
"06033","17","Lake","LK","56","5.88","10.54","7.96"
"06035","18","Lassen","LS","23","4.51","10.90","7.22"
"06037","19","Los Angeles","LA","10320","10.12","10.52","10.32"
"06039","20","Madera","MA","146","8.10","11.29","9.60"
"06041","21","Marin","MR","101","2.97","4.51","3.68"
"06043","22","Mariposa","MP","18","4.98","15.09","9.07"
"06045","23","Mendocino","MD","33","2.12","4.43","3.11"
"06047","24","Merced","ME","234","8.82","11.53","10.11"
"06049","25","Modoc","MO","null","null","null","null"
"06051","26","Mono","MN","null","null","null","null"
"06053","27","Monterey","MT","271","5.57","7.12","6.31"
"06055","28","Napa","NA","68","3.62","5.98","4.69"
"06057","29","Nevada","NE","68","6.20","10.60","8.20"
"06059","30","Orange","OR","1884","6.03","6.61","6.32"
"06061","31","Placer","PL","127","3.07","4.42","3.70"
"06063","32","Plumas","PM","17","3.55","11.30","6.63"
"06065","33","Riverside","RI","1586","7.55","8.34","7.94"
"06067","34","Sacramento","SA","1185","8.01","8.99","8.49"
"06069","35","San Benito","ST","24","2.81","6.70","4.45"
"06071","36","San Bernardino","SR","2024","10.01","10.95","10.47"
"06073","37","San Diego","SD","2093","6.55","7.14","6.84"
"06075","38","San Francisco","SF","652","7.96","9.38","8.64"
"06077","39","San Joaquin","SJ","687","9.57","11.17","10.35"
"06079","40","San Luis Obispo","SL","130","4.15","5.98","5.00"
"06081","41","San Mateo","SM","511","6.20","7.41","6.78"
"06083","42","Santa Barbara","SB","200","4.11","5.46","4.75"
"06085","43","Santa Clara","SC","1141","6.02","6.77","6.39"
"06087","44","Santa Cruz","SZ","153","5.22","7.27","6.18"
"06089","45","Shasta","SH","154","7.20","10.05","8.54"
"06091","46","Sierra","SI","null","null","null","null"
"06093","47","Siskiyou","SK","19","2.48","6.83","4.28"
"06095","48","Solano","SO","313","6.66","8.37","7.48"
"06097","49","Sonoma","SN","273","5.07","6.48","5.75"
"06099","50","Stanislaus","SS","466","7.88","9.51","8.67"
"06101","51","Sutter","SU","93","7.52","11.48","9.34"
"06103","52","Tehama","TE","46","5.60","10.34","7.71"
"06105","53","Trinity","TR","null","null","null","null"
"06107","54","Tulare","TU","370","8.20","10.14","9.13"
"06109","55","Tuolumne","TO","21","2.28","6.04","3.85"
"06111","56","Ventura","VE","436","4.83","5.85","5.32"
"06113","57","Yolo","YO","95","4.42","6.71","5.48"
"06115","58","Yuba","YU","90","9.98","15.33","12.44"
