"cnty_fips","cnty_id","cnty_name","cnty_abbr","Lower 95% Limit","Age Adj. Rate per 10000","Total Number","Upper 95% Limit"
"06000","00","CALIFORNIA","","47.99","47.99","185636","48.21"
"06001","01","Alameda","AL","70.38","71.73","10909","73.10"
"06003","02","Alpine","AP","null","null","null","null"
"06005","03","Amador","AM","37.48","44.84","154","53.13"
"06007","04","Butte","BU","47.92","50.96","1102","54.14"
"06009","05","Calaveras","CA","33.52","40.07","159","47.45"
"06011","06","Colusa","CO","28.76","36.17","84","44.91"
"06013","07","Contra Costa","CC","68.20","69.82","7251","71.47"
"06015","08","Del Norte","DN","43.32","51.41","151","60.55"
"06017","09","El Dorado","ED","27.22","29.86","522","32.69"
"06019","10","Fresno","FR","66.42","68.04","6884","69.70"
"06021","11","Glenn","GL","29.09","35.54","109","43.00"
"06023","12","Humboldt","HU","61.37","65.82","857","70.50"
"06025","13","Imperial","IM","83.78","88.10","1592","92.60"
"06027","14","Inyo","IN","38.68","49.27","87","61.74"
"06029","15","Kern","KN","48.20","49.69","4408","51.22"
"06031","16","Kings","KG","67.11","71.24","1186","75.56"
"06033","17","Lake","LK","65.87","73.15","415","80.98"
"06035","18","Lassen","LS","32.08","38.47","137","45.75"
"06037","19","Los Angeles","LA","48.66","49.08","51195","49.51"
"06039","20","Madera","MA","63.55","67.59","1058","71.82"
"06041","21","Marin","MR","26.55","28.77","685","31.11"
"06043","22","Mariposa","MP","26.77","36.05","60","47.31"
"06045","23","Mendocino","MD","62.36","67.85","600","73.69"
"06047","24","Merced","ME","69.61","72.82","2019","76.16"
"06049","25","Modoc","MO","29.15","41.89","41","58.03"
"06051","26","Mono","MN","13.29","20.16","28","29.31"
"06053","27","Monterey","MT","40.62","42.55","1876","44.55"
"06055","28","Napa","NA","36.39","39.67","557","43.16"
"06057","29","Nevada","NE","49.82","55.03","487","60.62"
"06059","30","Orange","OR","30.41","31.02","9793","31.65"
"06061","31","Placer","PL","33.40","35.46","1170","37.62"
"06063","32","Plumas","PM","45.70","56.61","110","69.20"
"06065","33","Riverside","RI","42.81","43.68","9655","44.58"
"06067","34","Sacramento","SA","61.56","62.87","8968","64.19"
"06069","35","San Benito","ST","39.60","44.78","282","50.47"
"06071","36","San Bernardino","SR","58.13","59.16","12979","60.20"
"06073","37","San Diego","SD","36.17","36.84","11628","37.52"
"06075","38","San Francisco","SF","43.52","45.18","3263","46.89"
"06077","39","San Joaquin","SJ","57.34","59.14","4348","60.97"
"06079","40","San Luis Obispo","SL","32.31","34.70","851","37.21"
"06081","41","San Mateo","SM","38.50","39.96","2873","41.47"
"06083","42","Santa Barbara","SB","30.96","32.67","1395","34.44"
"06085","43","Santa Clara","SC","31.48","32.31","5802","33.16"
"06087","44","Santa Cruz","SZ","32.85","35.15","903","37.57"
"06089","45","Shasta","SH","53.62","57.20","1020","60.94"
"06091","46","Sierra","SI","null","null","null","null"
"06093","47","Siskiyou","SK","30.89","36.94","151","43.76"
"06095","48","Solano","SO","64.35","66.79","2879","69.31"
"06097","49","Sonoma","SN","42.69","44.62","2107","46.60"
"06099","50","Stanislaus","SS","49.45","51.36","2854","53.32"
"06101","51","Sutter","SU","31.71","35.36","355","39.30"
"06103","52","Tehama","TE","65.73","72.48","446","79.72"
"06105","53","Trinity","TR","22.82","32.63","45","45.01"
"06107","54","Tulare","TU","52.68","54.82","2609","57.03"
"06109","55","Tuolumne","TO","47.96","54.55","287","61.74"
"06111","56","Ventura","VE","35.77","37.08","3104","38.42"
"06113","57","Yolo","YO","34.97","37.70","739","40.58"
"06115","58","Yuba","YU","45.80","50.74","399","56.06"
